episode_id,cell_id,x,y,z,surface_normal_x,surface_normal_y,surface_normal_z,force_N,rpm,feed_mm_s,step_over_mm,step_over_ratio,pass_count,roughness_before,roughness_after,scratch_before,scratch_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,is_defect,dwell_weighted_s,contact_steps,recipe_id,surface_seed
0,32,0.001000,0.065000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,7,0.550875,0.331451,1.081325,0.582217,0.440704,0.252059,1.844829,1.282718,40.0000,39.3422,0.657795,1,35.1363,478,recipe_00020,1000
0,33,0.001000,0.067000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.542896,0.322102,0.057682,0.000000,0.432514,0.244159,1.818125,1.248387,40.0000,38.9220,1.077997,1,35.0375,470,recipe_00020,1000
0,34,0.001000,0.069000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.536156,0.314202,0.000000,0.000000,0.424780,0.237379,1.803019,1.221760,40.0000,38.8106,1.189378,0,35.1337,472,recipe_00020,1000
0,35,0.001000,0.071000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.530463,0.307082,0.000000,0.000000,0.417627,0.231721,1.818274,1.183548,40.0000,38.8105,1.189499,0,35.1485,472,recipe_00020,1000
0,36,0.001000,0.073000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.526975,0.302489,0.000000,0.000000,0.412821,0.228047,1.840397,1.183548,40.0000,38.8251,1.174898,0,35.1279,472,recipe_00020,1000
0,37,0.001000,0.075000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.513738,0.296223,0.000000,0.000000,0.389855,0.217696,1.846000,1.183548,40.0000,38.8517,1.148290,0,35.0266,470,recipe_00020,1000
0,38,0.001000,0.077000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.471256,0.275812,0.000000,0.000000,0.330858,0.186750,1.834722,1.178364,40.0000,38.8866,1.113449,0,34.8454,466,recipe_00020,1000
0,39,0.001000,0.079000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.406740,0.242895,0.000000,0.000000,0.250667,0.139858,1.795936,1.166796,40.0000,38.9173,1.082699,0,34.6297,462,recipe_00020,1000
0,40,0.001000,0.081000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.297256,0.179767,0.000000,0.000000,0.165249,0.081200,1.471943,0.957121,40.0000,38.9322,1.067843,0,34.2469,452,recipe_00020,1000
0,41,0.001000,0.083000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.155244,0.088840,0.000000,0.000000,0.113146,0.055800,0.677173,0.454122,40.0000,38.9180,1.082016,0,33.7897,440,recipe_00020,1000
0,42,0.001000,0.085000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.127813,0.076949,0.000000,0.000000,0.108222,0.057834,0.482026,0.316859,40.0000,38.8789,1.121102,0,33.1354,420,recipe_00020,1000
0,43,0.001000,0.087000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.132666,0.083445,0.000000,0.000000,0.110872,0.066165,0.482026,0.315884,40.0000,38.8215,1.178495,0,32.5824,404,recipe_00020,1000
0,44,0.001000,0.089000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.130304,0.087877,0.000000,0.000000,0.104664,0.072720,0.482026,0.321974,40.0000,38.7613,1.238669,0,32.2386,400,recipe_00020,1000
0,45,0.001000,0.091000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.118351,0.087967,0.000000,0.000000,0.088695,0.074471,0.479095,0.321974,40.0000,38.7240,1.276005,0,31.8257,396,recipe_00020,1000
0,46,0.001000,0.093000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.099350,0.084331,0.000000,0.000000,0.070920,0.071765,0.437090,0.311184,40.0000,38.7125,1.287541,0,31.3460,392,recipe_00020,1000
0,47,0.001000,0.095000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.081937,0.079162,0.000000,0.000000,0.060841,0.067044,0.365704,0.290766,40.0000,38.7213,1.278670,0,30.7565,386,recipe_00020,1000
0,48,0.001000,0.097000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.076020,0.075292,0.000000,0.000000,0.058924,0.062644,0.316462,0.290766,40.0000,38.7428,1.257203,0,30.1079,380,recipe_00020,1000
0,49,0.001000,0.099000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.081660,0.073622,0.000000,0.000000,0.064559,0.060399,0.323690,0.290766,40.0000,38.7750,1.225030,0,29.3127,370,recipe_00020,1000
0,50,0.001000,0.101000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.090449,0.073778,0.000000,0.000000,0.076077,0.060243,0.341064,0.292106,40.0000,38.8179,1.182135,0,28.4692,360,recipe_00020,1000
0,51,0.001000,0.103000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.096354,0.076345,0.000000,0.000000,0.082476,0.061765,0.373603,0.305689,40.0000,38.8696,1.130366,0,27.5384,348,recipe_00020,1000
0,52,0.001000,0.105000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.096993,0.080531,0.000000,0.000000,0.081535,0.063987,0.381609,0.328594,40.0000,38.9232,1.076841,0,26.3556,326,recipe_00020,1000
0,53,0.001000,0.107000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.092096,0.085458,0.000000,0.000000,0.075516,0.067274,0.358714,0.346627,40.0000,38.9618,1.038194,0,25.1837,304,recipe_00020,1000
0,54,0.001000,0.109000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.082660,0.091892,0.000000,0.000000,0.066500,0.072645,0.323477,0.360421,40.0000,38.9714,1.028641,0,24.3690,300,recipe_00020,1000
0,55,0.001000,0.111000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.071781,0.095177,0.000000,0.000000,0.057174,0.076874,0.288188,0.358741,40.0000,38.9733,1.026655,0,23.4506,294,recipe_00020,1000
0,56,0.001000,0.113000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.064273,0.097558,0.000000,0.000000,0.052418,0.081039,0.255886,0.356398,40.0000,38.9833,1.016706,0,22.4374,286,recipe_00020,1000
0,57,0.001000,0.115000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.060956,0.098452,0.000000,0.000000,0.050706,0.083093,0.221309,0.354690,40.0000,39.0076,0.992432,0,21.4754,282,recipe_00020,1000
0,58,0.001000,0.117000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.058442,0.098033,0.000000,0.000000,0.049034,0.082191,0.209984,0.355932,40.0000,39.0482,0.951822,0,20.3922,274,recipe_00020,1000
0,59,0.001000,0.119000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.057000,0.097993,0.000000,0.000000,0.047202,0.081451,0.209984,0.355932,40.0000,39.0953,0.904726,0,19.1985,262,recipe_00020,1000
0,60,0.003000,0.001000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.074275,0.106702,0.000000,0.000000,0.050736,0.087819,0.341815,0.429941,40.0000,39.1702,0.829751,0,19.5401,268,recipe_00020,1000
0,61,0.003000,0.003000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.111029,0.121830,0.000000,0.000000,0.065595,0.096597,0.541711,0.522079,40.0000,39.1369,0.863142,0,20.8018,280,recipe_00020,1000
0,62,0.003000,0.005000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.347286,0.274688,0.000000,0.000000,0.188396,0.165130,1.676592,1.374283,40.0000,39.1133,0.886715,0,21.9602,288,recipe_00020,1000
0,63,0.003000,0.007000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.524694,0.408892,0.000000,0.000000,0.373357,0.287611,1.866686,1.570650,40.0000,39.0949,0.905133,0,23.0934,296,recipe_00020,1000
0,64,0.003000,0.009000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.552582,0.432396,0.000000,0.000000,0.418312,0.323508,1.879853,1.598179,40.0000,39.0785,0.921503,0,24.1459,302,recipe_00020,1000
0,65,0.003000,0.011000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.556777,0.423950,0.000000,0.000000,0.422649,0.317825,1.954183,1.596875,40.0000,39.0622,0.937795,0,25.1067,306,recipe_00020,1000
0,66,0.003000,0.013000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.558715,0.408902,0.309862,0.173634,0.424168,0.307750,1.954183,1.538872,40.0000,39.1517,0.848299,1,26.0583,312,recipe_00020,1000
0,67,0.003000,0.015000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,4,0.569866,0.407350,1.618996,1.124235,0.445324,0.316234,1.954183,1.474232,40.0000,39.4924,0.507571,1,26.9453,318,recipe_00020,1000
0,68,0.003000,0.017000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.599507,0.422714,1.171926,0.765554,0.494075,0.347990,1.954183,1.412955,40.0000,39.3909,0.609150,1,28.3922,350,recipe_00020,1000
0,69,0.003000,0.019000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.630259,0.436112,0.000000,0.000000,0.545717,0.375600,1.954183,1.370806,40.0000,38.9355,1.064545,1,29.4845,366,recipe_00020,1000
